,price,area,latitude,longitude,bedrooms,bathrooms,balcony,status,neworold,parking,furnished_status,lift,type_of_building
130,35000000.0,806.0,19.022622,72.858387,2,2,0,0,New Property,0,Unfurnished,0,Flat
131,46500000.0,1750.0,19.006180342037,72.8286779623475,3,3,0,Ready to Move,Resale,0,0,0,Flat
132,15000000.0,1500.0,19.204983,72.824373,2,2,4,0,Resale,4,Unfurnished,4,Flat
133,13600000.000000002,910.0,19.1746739,72.94310379999999,2,2,0,0,New Property,0,Unfurnished,0,Flat
134,18500000.0,1000.0,19.07907,72.907976,2,2,0,0,Resale,0,Unfurnished,0,Flat
135,8500000.0,974.0,19.2834,72.886291,2,2,3,0,New Property,3,Unfurnished,3,Flat
136,25000000.0,800.0,19.05861,72.84431,2,2,2,0,New Property,2,Unfurnished,2,Flat
137,60000000.0,1316.0,19.046912,72.90759,3,3,5,0,New Property,5,Unfurnished,5,Flat
138,28000000.0,1513.0,19.110616,72.856052,3,3,1,Ready to Move,Resale,1,Unfurnished,1,Flat
139,65000000.0,2300.0,19.04094,72.86528100000001,4,5,0,0,Resale,0,Semi-Furnished,0,Flat
140,12000000.0,860.0,19.202279,72.82840999999999,2,2,0,0,New Property,0,Furnished,0,Flat
141,65599999.99999999,1914.0,19.0166667,72.8166667,3,3,2,0,New Property,2,Unfurnished,2,Flat
142,50000000.0,2303.0,18.99331,72.847938,3,3,0,0,Resale,0,Unfurnished,0,Flat
143,28900000.0,1700.0,19.136807,72.930675,3,3,0,0,New Property,0,Semi-Furnished,0,Flat
144,18000000.0,1157.0,19.12998,72.933221,2,2,0,0,New Property,0,Unfurnished,0,Flat
145,55000000.0,1500.0,19.0815087,72.8376755,3,3,0,0,New Property,0,Semi-Furnished,0,Flat
146,21000000.0,1050.0,19.12882804870605,72.8330078125,2,2,0,Ready to Move,Resale,0,Unfurnished,0,Flat
147,12600000.0,925.0,19.043911,72.89877800000001,2,2,1,0,New Property,1,Unfurnished,1,Flat
148,9360000.0,585.0,19.1746739,72.94310379999999,2,2,3,0,New Property,3,Unfurnished,3,Flat
149,17500000.0,1075.0,19.111397,72.90142800000001,2,2,1,0,New Property,1,Unfurnished,1,Flat
